Art.Nr;Titel;Warengruppe;System;Genre;Label;Nachbestellbar j/n;Bestand;Laufzeit-Gesamt;FSK;EAN;EK-Preis;Bewertung;Empf.VK;Aktions VK;Aktions EK;Darsteller 1;Regisseur;DVD-Anzahl;Beschreibung;Original BestellNr;VÖ-Datum;Lieferant;aktiv;Jpg-Pfad
325996;Wii Sensorleiste wireless  EX;Wii Zubehör;Wii;Zubehör;Eaxus;J;       0;;33;4260183010647;       4,20;;     8,99;     8,99;;;;  1;Funk-Sensorleiste für Nintendo Wii<BR><BR>- Reichweite: ca. 6m<BR>- inklusive Standfuß und Halterung für die Sensorleiste<BR>- kein Kabel zur Wii nötig<BR>- einfach zu installieren: Batterien einsetzen, aufstellen, einschalten<BR>- Farbe weiss <BR><BR>;;01.04.2009;Sonderposten;1;https://bilderserver.vitrex.de/325996.jpg
326816;SNES Controller für Super Nintendo;N64 Zubehör;N64;Zubehör;Eaxus;J;       8;;33;4260183010173;       2,50;;     5,00;     5,00;;;;  1;Buttons: A,B,X,Y & Schultertasten RL<BR>Kabellänge ca. 1,50cm<BR>;;15.01.2000;Sonderposten;1;https://bilderserver.vitrex.de/326816.jpg
329842;Monster Hunter Tri  Wii;Wii Software;Wii;Action;Nintendo;J;     175;;12;5055060952238;       6,60;TOP1;     9,99;     9,99;;;;  1;82% M!Games 052010<BR>81% Games Aktuell 052010<BR><BR>Um sich im Evolutionskampf mit den furchteinflößenden <BR> Kreaturen untereinander zu organisieren, stehen den <BR> Wii-Fans mehrere Möglichkeiten zur Verfügung. Ihre Taktik <BR> besprechen bis zu vier Spieler einfach über das <BR> WiiSpeak-Mikrofon. Und treffen zwei Jäger aufeinander, die <BR> ihre Wanderung gemeinsam fortsetzen wollen, müssen sie <BR> sich nur gegenseitig in ihre Freundesliste aufnehmen. Dies <BR> genügt, damit sie sich beim nächsten Mal problemlos <BR> wiederfinden: Ein einfacher Doppelklick und der Spieler <BR> springt direkt an die Seite seines Verbündeten, wenn <BR> dieser  online ist, um einen Quest zu erfüllen.<BR><BR>Das gemeinsame Spiel wird durch Wii Speak unterstützt,<BR>die Online-Monsterjagd ist kostenlos.<BR>;;23.04.2010;Sonderposten;1;https://bilderserver.vitrex.de/329842.jpg
330165;DS Netzteil  DS  EX auch für GBA SP;DS Zubehör;DS;Zubehör;Eaxus;J;       0;;33;4260183010180;       2,90;;     4,99;     4,99;;;;  1;;;01.04.2009;Sonderposten;1;https://bilderserver.vitrex.de/330165.jpg
331795;PS3 USB Ladekabel  Snakebyte 3m;PS3 Zubehör;PS3;Zubehör;Snakebyte;J;      22;;33;4250215402304;       3,08;;     4,99;     4,99;;;;  1;- Ermöglicht gleichzeitiges Spielen und Laden des <BR> originalen PS3-Controllers<BR> <BR>- Verbindet die PSP-Videospielkonsole mit dem PlayStation 3 <BR> System<BR><BR>- Kabellänge: 3 Meter<BR><BR>;;27.11.2009;Snakebyte distribution GmbH;1;https://bilderserver.vitrex.de/331795.jpg
332468;PS2 Memory Card  32MB EX;PS2 Zubehör;PS2;Zubehör;Eaxus;J;       3;;33;4911546782236;       6,80;;    12,99;    12,99;;;;  1;;;10.01.2009;Sonderposten;1;https://bilderserver.vitrex.de/332468.jpg
332628;Star Ocean 4 Last Hope  PS-3 Square Enix;PS3 Software;PS3;Rollenspiel;Square Enix;J;       8;;12;5060121826090;       9,90;AA;    14,99;    14,99;;;;;82% Play3 032010<BR><BR>Star Ocean The Last Hope - International<BR><BR>Wir schreiben das Jahr 2087. Aus den Trümmern des Dritten <BR> Weltkriegs erheben sich die letzten Überlebenden der <BR> menschlichen Rasse. Ohne sichere Zuflucht auf der fast <BR> vollständig zerstörten Erde bleibt ihnen nichts, als ihr <BR> Heil in den Sternen zu suchen. Nach erfolgreichen Tests <BR> mit einem experimentellen Warp-Antrieb werden heldenhafte <BR> Pioniere mit der Aufgabe betraut, im All eine neue Heimat <BR> für die Menschheit zu finden.<BR><BR>Nach dem erfolgreichen Xbox-360-Debüt erweitern tri-Ace <BR> und Square Enix die PS3-Version um viele von Fans <BR> geforderte Kleinigkeiten wie die originale japanische <BR> Sprachausgabe und optionale Anime-Porträts. Außerdem <BR> ermöglicht ein manuelles Zielsystem neue Kampftaktiken, <BR> und dank des Blu-ray-Speichermediums entfallen lästige <BR> Disc-Wechseleien im späteren Spielverlauf. Star Ocean: The <BR> Last Hope International stellt somit die ultimative <BR> Fassung dieses JRPG-Highlights dar.<BR><BR>Features:   <BR><BR>- Mitreißende Echtzeitkämpfe und komplexe <BR> Rollenspiel-Elemente <BR><BR>- Atemberaubende CGI-Videos und beeindruckende <BR> 3D-Echtzeit-Grafik <BR><BR>- Optional japanische Sprachausgabe <BR><BR><BR>Englische und japanische Sprachausgabe, multilinguale <BR> Bildschirmtexte (EFIGS) <BR>;;12.02.2010;Sonderposten;1;https://bilderserver.vitrex.de/332628.jpg
332971;Wii Componenten Kabel  EX;Wii Zubehör;Wii;Zubehör;Eaxus;J;       0;;33;4260183010883;       5,30;;     9,99;     9,99;;;;  1;Wii EAXUS Komponenten Kabel mit vergoldeten Anschlüssen <BR><BR>Verbinden Sie Ihren Nintendo Wii in bestmöglicher Qualität <BR> mit jedem Plasma-LCD-TV oder Beamer. <BR><BR>Das 1,80 Meter lange EAXUS Wii Komponentenkabel hat <BR> vergoldete Anschlüsse.<BR><BR><BR>;;19.09.2009;Sonderposten;1;https://bilderserver.vitrex.de/332971.jpg
333548;3DS Netzteil EX  auch DSi + XL;DS Zubehör;DS;Zubehör;Eaxus;J;       0;;33;4260183011521;       2,90;;     4,99;     4,99;;;;  1;- Das Netzteil lädt ihre NDSi Konsole sogar während dem <BR> Spielen wieder auf.<BR><BR>- Das geringe Gewicht ermöglicht eine einfache und bequeme <BR> Mitnahme.<BR><BR>- Kompatibel mit der NDSi Konsole<BR>;;29.12.2009;Sonderposten;1;https://bilderserver.vitrex.de/333548.jpg
333835;PS2 Memory Card  16MB EX;PS2 Zubehör;PS2;Zubehör;Diverse;J;       0;;33;4911546782328;       5,90;;     9,99;     9,99;;;;  1;16 MB Memory Card für PS2.<BR>;;10.01.2009;Sonderposten;1;https://bilderserver.vitrex.de/333835.jpg
341111;We Sing Robbie Williams  Wii;Wii Software;Wii;Musik;Wanadoo;J;     211;;o.A.;7340044300999;       1,95;A;     5,00;     5,00;;;;  1;78% Games Aktuell 012011<BR><BR>We Sing Robbie Williams versammelt 25 Hits des <BR> weltberühmten Popstars aus den letzten 20 Jahren, jeder <BR> Song begleitet vom Originalvideo  ein Leckerbissen für die <BR> Millionen leidenschaftlicher Anhänger des britischen <BR> Megastars. Fans jeden Alters wählen aus seiner Reihe <BR> weltbekannter Hits wie Angels, Rock DJ, Let Me Entertain <BR> You, Shes The One und Old Before I Die.<BR><BR>We Sing Robbie Williams erscheint zeitgleich zum 'Best of' <BR> Album In And Out Of Consciousness: The Greatest Hits <BR> 1990-2010. Robbie Williams startete seine Karriere als <BR> Sänger und Tänzer bei Take That, einer der erfolgreichsten <BR> Boygroups der 90er. 1995 verließ er die Band und schlug <BR> eine Solokarriere ein. Bis heute verkaufte er 57 Millionen <BR> Alben und elf Millionen Hitsingles. Im Februar dieses <BR> Jahres erhielt er bei den Verleihungen des renommierten <BR> BRIT Awards den Outstanding Contribution To Music BRIT <BR> Award. <BR><BR>Wie bei allen Teilen der We Sing Reihe können auch bei We <BR> Sing Robbie Williams bis zu vier Sänger gleichzeitig zum <BR> Mikrofon greifen und mit- oder gegeneinander antreten. <BR> Acht Multiplayer-Modi bringen viel Spaß und Spannung ins <BR> Spiel. Eine Vielzahl an Features wie zum Beispiel `Goldene <BR> Note', welches das Singen schwieriger Passagen mit Extra- <BR> Punkten belohnt, die Funktion Gesangsunterricht zur <BR> Verbesserung der Gesangskünste oder der Jukebox-Modus <BR> bieten reichlich Abwechslung für ausgelassene <BR> Karaoke-Abende.<BR><BR>We Sing Robbie Williams: ein absolutes Muss für alle We <BR> Sing undoder Robbie Williams Fans!<BR><BR><BR>FEATURES:<BR><BR>- 25 original Top-Hits von Robbie Williams (inkl. <BR> Video-Clips)<BR>- Bis zu vier Sänger gleichzeitig möglich<BR>- Solo Modus und diverse Multiplayer-Modi wählbar: We Sing, <BR> Versus, Group Battle, Pass The Mic, First to X, Marathon, <BR> Blind und Expert<BR>- Individuelle Playlist erstellbar<BR>- Drei Schwierigkeitsstufen (leicht, mittel, schwer)<BR>- Punktemultiplikator und Goldene Noten<BR>- Erweiterte Spielerstatistiken<BR>- Individualisierbares Interface<BR>- Gesangsunterricht (Gesangs-Tutorial)<BR>- Jukebox-Modus + Rap-Modus<BR>- Karaoke Modus (ohne Original-Vocals)<BR>- Komplette HDTV-Kompatibilität: 16:9 Breitbild ohne <BR> Verzögerungen<BR>- Kompatibel zu allen Logitech USB Mikrofonen (z. B. Sing <BR> It, Rock Band)<BR><BR>;;12.11.2010;Sonderposten;1;https://bilderserver.vitrex.de/341111.jpg
347406;Mario Kart 7  3DS;3DS Software;3DS;Rennspiel;Nintendo;J;       4;;o.A.;0045496521257;      30,51;TOP1;    44,99;    44,99;;;;;88% M!Games 132011<BR><BR>Auf die Plätze, fertig, Spaß! Mario Kart 7 ist der <BR> Rennspaß für bis zu acht Personen. Dabei lassen sich die <BR> Karts individuell tunen, um so maximalen Spaß <BR> herauszuholen. Und das zu Lande in der Luft und im Wasser! <BR> Die Fahrer lassen entweder ihren Lieblingscharakter aus <BR> dem Pilzkönigreich oder ihren Mii-Charakter über die Piste <BR> wetzen. <BR><BR>Jede Menge neuer Strecken garantieren in Kombination mit <BR> den einzigartigen 3D-Grafiken ein Rennerlebnis, bei dem <BR> die Langeweile garantiert auf der Strecke bleibt! Dabei <BR> kommt sowohl die StreetPass als auch die SpotPass Funktion <BR> des Nintendo 3DS zum Einsatz.<BR><BR>FEATURES:<BR><BR>- Rennspaß zu Lande und ganz neu: auch im Wasser und in <BR> der Luft.<BR><BR>- Beherrsche das Rennen durch individualisierbare Karts.<BR><BR>- 16 komplett neue Strecken und eine Auswahl der besten <BR> Klassik Strecken mit neuen Überraschungen.<BR><BR>- Spielspaß für bis zu acht Spieler gleichzeitig  ob lokal <BR> oder online.<BR><BR>- Neben den beliebten Charakteren aus dem Mario Universum <BR> können auch die eigenen Mii-Charaktere an den Start gehen.<BR><BR>- Steuerung dank der Bewegungssensoren des Nintendo 3DS <BR> wie mit einem Lenkrad.<BR><BR>- Unterstützt die StreetPass und SpotPass Funktion des <BR> Nintendo 3DS.<BR><BR>;;02.12.2011;Nintendo;1;https://bilderserver.vitrex.de/347406.jpg
349023;3DS Netzteil  original (3DS2DS) N2DSXL3DS2DSDSDSXL;3DS Zubehör;3DS;Zubehör;Nintendo;J;       0;;33;0045496510046;       5,70;;     7,99;     7,99;;;;  1;Netzteil zu Nintendo Spielkonsolen 3DS, DSi, DSI XL <BR>;;20.05.2011;Sonderposten;1;https://bilderserver.vitrex.de/349023.jpg
352410;Chicken Riot + Pistole  Wii;Wii Software;Wii;Shooter;S.A.D.;J;       0;;6;4017404020806;      20,68;B;    29,99;    29,99;;;;  1;Inklusive Pistole!<BR><BR><BR>Da fliegen die Federn! Stell dir eine Horde <BR> durchgeknallter Hühner vor, die einen Aufstand gegen dich <BR> anzetteln. Jage diese verdammten Hühner aus deiner Farm und<BR>  deinen umliegenden Feldern. Bekämpfe sie im Obstgarten und<BR>  auf dem Friedhof. Die Sache ist ganz einfach  entweder sie<BR>  oder du!<BR><BR>Damit die Jagd auch richtig Spaß macht, enthält das Bundle <BR> einen Pistolenaufsatz für die Wiimote.<BR><BR>FEATURES:<BR>        <BR>- Abgedrehte Animationen<BR>- Tolle Waffen und Bonus-Upgrades <BR>- Nonstop-Hühnerjagd mit durchgeknallten Endgegnern<BR>- Minispiele und aufregende Belohnungen<BR>- Inklusive Pistole<BR>;;21.09.2011;S.A.D. GmbH;1;https://bilderserver.vitrex.de/352410.jpg
355142;GTA  5  PS-3;PS3 Software;PS3;Action;Take2;J;     395;;18;5026555410243;      11,95;TOP1;    39,99;    39,99;    11,95;;;  1;Grand Theft Auto V wird von Rockstar North, den Schöpfern <BR> der Serie, entwickelt und ist der bisher größte und <BR> ambitionierteste Titel der Reihe. Angesiedelt in der <BR> ausgedehnten Stadt Los Santos und der umliegenden Region, <BR> bietet Grand Theft Auto V eine Spielwelt von beispiellosem <BR> Ausmaß und Detailreichtum, die von den Gipfeln der Berge <BR> bis zu den Tiefen des Ozeans vor Leben strotzt.<BR><BR>Drei Protagonisten, drei Storylines, drei Spiel-Stile<BR>MICHAEL ist rund 40 Jahre alt und ein ehemaliger <BR> Bankräuber, der jetzt auf Grund eines dubiosen Deals mit <BR> dem FIB im Zeugenschutzprogramm ein luxuriöses Leben <BR> führt. Im ersten Trailer hat er das Voiceover gesprochen <BR> und ist mit Anzug und Handy zu sehen. Mit seiner teuren <BR> Kleidung und gepflegtem Auftreten erinnert er dabei eher <BR> an einen Geschäftsmann, als an einen Verbrecher. Doch der <BR> idyllische Schein trügt: Michael hasst seine Frau Amanda <BR> und findet keinen Draht zu seinen beiden Kindern Tracy und <BR> Jimmy. Da Amanda zudem Michael Gefühle teilt und <BR> gleichzeitig sein Geld verprasst, braucht der Ruheständler <BR> dringend einen neuen Job.<BR><BR>Das krasse Gegenteil zu Michael ist TREVOR, ein <BR> abgehalfterter Junkie, der auf Grund seiner häufigen Wut- <BR> und Gewaltausbrüche ein unkontrollierbares Risiko <BR> darstellt. Sein destruktiver Lebensstil hat einige Spuren <BR> hinterlassen und so wirkt der ehemalige Militärpilot mit <BR> seinem heruntergekommenen Kleidungsstil und schütterem <BR> Haar eher wie ein Penner, als wie Michaels ehemaliger <BR> Partner.<BR><BR>Der dritte im Bunde ist FRANKLIN, ein Geldeintreiber für <BR> einen armenischen Autohändler. Mit Mitte Zwanzig steht er <BR> noch am Anfang seiner kriminellen Karriere und sieht seine <BR> Chance auf das ganz große Geld gekommen, als er Michael <BR> trifft. Franklin ist afro-amerikanischer Abstammung und <BR> achtet nicht nur auf seine Fitness, sondern auch auf <BR> seinen Gangsta-Kleidungsstil.<BR><BR>Aber die Unterschiede enden nicht bei der Optik, den <BR> jeweiligen Hintergrundgeschichten oder den Stadtteilen, in <BR> denen die drei Charaktere leben. Sie haben alle auch ihren <BR> eigenen Freundeskreis und gehen ihren eigenen Aktivitäten <BR> nach, solange sie nicht vom Spieler kontrolliert werden. <BR> Zudem wird es wieder zahlreiche Nebenbeschäftigungen <BR> geben, die jeder Spieler ausüben kann, sowie einige <BR> Aktivitäten, die den einzelnen Charakteren jeweils als <BR> persönliche Hobbies vorbehalten sind. Zu diesen Minigames <BR> zählen unter anderem Yoga, Tennis, Triathlons und Golf. <BR>;;17.09.2013;Take-Two Interactive GmbH;1;https://bilderserver.vitrex.de/355142.jpg
357076;Terraria  C.E.  PC  (OR) Steam;PC Software;PC;Action;NBG;J;       0;;6;4018281674380;      12,60;;    19,99;    19,99;;;;  1;Mit über 600.000 digital verkauften Exemplaren kommt <BR> erstmals das zweitgrößte Sandbox-Spiel nach Minecraft in <BR> den Handel. Graben, Kämpfen, Erkunden, Bauen! In dem <BR> Action-Adventure Spiel Terraria ist nichts unmöglich. Die <BR> Welt ist Ihre Leinwand, die Erde Ihre Farbe. <BR><BR>Schnappen Sie sich Ihre Ausrüstung und bauen Sie Waffen <BR> zur Bekämpfung verschiedenster Monster. Schaufeln Sie <BR> tief, um auch die letzten Bodenschätze zu beanspruchen und <BR> Ausrüstungs-gegenstände, Geld und andere nützliche Dinge <BR> zu finden. Kreieren Sie mit den von Ihnen gesammelten <BR> Ressourcen Ihre eigene Welt. Errichten Sie Häuser, Burgen <BR> oder ganze Schlösser und schon bald beherbergen Sie <BR> Besucher, die Ihnen nützliche Güter verkaufen. <BR><BR>Doch Vorsicht, die Welt von Terraria hat einige <BR> Überraschungen für Sie parat... Sind Sie der Aufgabe <BR> gewachsen?<BR><BR>FEATURES:<BR><BR>- Sandbox-Spiel <BR>- Zufällig generierte Welten <BR>- Kostenlose Zusatzinhalte <BR>- Exklusive Sammleredition mit vielen Sonderinhalten<BR><BR>;;01.03.2012;NBG Handel u. Verlag AG;1;https://bilderserver.vitrex.de/357076.jpg
361863;New Super Mario Bros. 2  3DS;3DS Software;3DS;Jump'N Run;Nintendo;J;      14;;o.A.;0045496522612;      30,51;TOP1;    44,99;    44,99;;;;;Mario im Goldrausch: Münzen sammeln, brüderlich teilen mit <BR> Luigi im Mehrspieler-Modus und neues Equipment entdecken <BR> in New Super Mario Bros. 2<BR><BR>- Super Mario erlebt neue Welten in New Super Mario Bros. <BR> 2!<BR>- 2D-Level: Zum Bersten voll mit goldenen Münzen und <BR> Gegnern!<BR>- Spielmodi Münzenrausch sorgt für Spielvergnügen, das <BR> Gold wert ist.<BR>- Brüderlich geteilt: Mario und Luigi zusammen in einem <BR> Level im Mehrspieler-Modus.<BR>- Beliebtes und neues Equipment: Fliegen und springen wie <BR> nie!<BR><BR>Der Spaß ist Gold wert! Goldfeinde ziehen eine Münz-Spur <BR> hinter sich her, Höhlen voller Edelmetall warten darauf, <BR> ausgehoben zu werden und in jedem Level ist es möglich, <BR> mittels eines Goldrings Gegner in Klimpermünzen zu <BR> verwandeln. In diesem neuen Mario Abenteuer gilt es jetzt <BR> nicht mehr nur die entführte Prinzessin zu befreien, <BR> sondern auch so viel Gold wie möglich einzuheimsen. Dank <BR> der Flugfähigkeiten nach aufsammeln neuer Items können nun <BR> auch neue Wege genommen werden. Auch gemeinsam! Im lokalen <BR> kabellosen Netzwerk stürmen Mario und Luigi zusammen durch <BR> die glänzenden neuen Level, die im 2D-Stil gehalten sind! <BR>;;17.08.2012;Nintendo;1;https://bilderserver.vitrex.de/361863.jpg
362829;3DSXL Dual Screen Protection Kit;3DS Zubehör;3DS;Zubehör;Bigben Interactive;J;       0;;33;3499550307627;       2,70;;     4,99;     4,99;;;;  1;Bildschirmschutzfolien-Set für Nintendo 3DS XL<BR>- Dicke und unflexible Folie zum Schutz des oberen <BR> Bildschirms.<BR>- Dünne und flexible Folie zum Schutz des Touchscreens.<BR>- Antistatisches Reinigungstuch <BR>;;20.08.2012;Bigben Interactive GmbH;1;https://bilderserver.vitrex.de/362829.jpg
364340;3DS Tasche Mario   3DS14 DSL + DSi + 3DS;3DS Zubehör;3DS;Zubehör;Bigben Interactive;J;       0;;33;0663293104819;       5,42;;     9,99;     9,99;;;;  1;Offiziell lizenzierte Mario-Tasche für Nintendo DS Lite  <BR> DSi  3DS<BR>- Hochwertiges und strapazierfähiges Stoff Etui mit <BR> Reißverschluss<BR>- Elastische Schlaufe, die das Gerät fest in der Tasche <BR> sichert<BR>- Stauraum für 3 Spiele und 3 zusätzliche Ersatzstifte<BR>- Trageschlaufe <BR>;;05.10.2012;Bigben Interactive GmbH;1;https://bilderserver.vitrex.de/364340.jpg
365560;Rocksmith Kabel (Zubehör);Multiplattform;Multiplattform;Zubehör;Ubi Soft;J;      74;;33;3307215640340;      20,64;;    29,99;    29,99;;;;  1;Mit dem Rocksmith Real Tone Cable kannst du jede Gitarre <BR> und jeden Bass an deine Xbox 360, dein PlayStation3-System <BR> oder deinen Windows-PC anschließen.<BR><BR>- Ermöglicht es dir, dein Instrument direkt an deinen <BR> Computer anzuschließen und mit 48 kHz aufzuzeichnen.<BR>- Ermöglicht gemeinsames, kooperatives Spielen von <BR> Rocksmith mit geteiltem Bildschirm.<BR>- Das einzigartige Design ermöglicht ein schnelles <BR> Abziehen der Gitarre von der Spielkonsole oder dem <BR> Windows-PC, um den Schutz der Ausstattung und der Hardware <BR> zu garantieren.<BR><BR>Kompatibel mit Rocksmith<BR>Erlebe Rocksmith - das erste und einzige Videospiel, bei <BR> dem du eine echte Gitarre oder einen Bass anschließen <BR> kannst. Rocksmith passt sich automatisch deinen <BR> persönlichen Fähigkeiten an und fordert erfahrene Musiker <BR> ebenso heraus wie alle, die in ihrem Leben noch nie zuvor <BR> eine Gitarre oder einen Bass in der Hand hatten.<BR><BR>Geeignet für alle Bässe und Gitarren<BR>-Gitarre oder Bass mit 6,35-mm-Klinkenstecker-Ausgang <BR> erforderlich. Zum Spielen auf Xbox 360, PlayStation 3 und <BR> PC ist die Rocksmith-Software erforderlich.<BR>- Enthält keine Aufnahme- oder Musiksoftware für den PC.<BR><BR>Hinweis: Das Spiel ist in dieser Verpackung nicht <BR> enthalten<BR>;;23.10.2012;Ubisoft GmbH;1;https://bilderserver.vitrex.de/365560.jpg
367841;3DSXL Pack Pirates XL(verschied. Motive);3DS Zubehör;3DS;Zubehör;Bigben Interactive;J;       0;;33;3499550312416;      10,84;;    19,99;    19,99;;;;  1;Inhalt: Tasche, 3 Spieleleerhüllen, 2 Ersatzstifte, <BR> Stereo-Ohrhörer, Bildschirmschutzfolien-Set und je 1 <BR> Trageriemen für Handgelenk und Hals<BR>;;22.03.2013;Bigben Interactive GmbH;1;https://bilderserver.vitrex.de/367841.jpg
